Country Name,United States
year,CPI (2010 = 100)
1960,13.5630607803977
1961,13.7082837473334
1962,13.8726149993924
1963,14.0445895655005
1964,14.2242074456579
1965,14.4496852101109
1966,14.8853541109182
1967,15.2980930695779
1968,15.9515964207889
1969,16.8229342224036
1970,17.8051000777325
1971,18.5694314826577
1972,19.1770749495732
1973,20.3617886272073
1974,22.612744614712
1975,24.6802610650347
1976,26.0980958211709
1977,27.7949115401049
1978,29.9159311887723
1979,33.2828110274678
1980,37.7923663165265
1981,41.6980997956942
1982,44.254788345169
1983,45.6764447583299
1984,47.6407764689876
1985,49.3299488738723
1986,50.2662548449057
1987,52.1082935307754
1988,54.2331348364675
1989,56.8509698983363
1990,59.919760489111
1991,62.4573407534626
1992,64.3490609806525
1993,66.2484245218916
1994,67.9758134970226
1995,69.8828203523109
1996,71.9312285175105
1997,73.6127576083459
1998,74.7554330587091
1999,76.391102265249
2000,78.9707207568716
2001,81.2025684592531
2002,82.4904668765521
2003,84.3630788186188
2004,86.6216781201728
2005,89.5605323721102
2006,92.4497050827274
2007,95.0869923788515
2008,98.7374773853446
2009,98.3864199710624
2010,100
2011,103.156841568622
2012,105.291504532867
2013,106.833848874866
2014,108.566932118964
2015,108.695721960693
2016,110.06700893427
2017,112.411557302308
2018,115.157303224791
2019,117.244195476228
2020,
